id,text,authentic
59001001,"James, a servant of God and of the Lord Jesus Christ, to the twelve tribes which are scattered abroad, greeting.",FALSE
59001002,"My brethren, count it all joy when ye fall into divers temptations;",FALSE
59001003,"Knowing this, that the trying of your faith worketh patience.",FALSE
59001004,"But let patience have her perfect work, that ye may be perfect and entire, wanting nothing.",FALSE
59001005,"If any of you lack wisdom, let him ask of God, that giveth to all men liberally, and upbraideth not; and it shall be given him.",FALSE
59001006,"But let him ask in faith, nothing wavering. For he that wavereth is like a wave of the sea driven with the wind and tossed.",FALSE
59001007,For let not that man think that he shall receive any thing of the Lord.,FALSE
59001008,A double minded man is unstable in all his ways.,FALSE
59001009,Let the brother of low degree rejoice in that he is exalted:,FALSE
59001010,"But the rich, in that he is made low: because as the flower of the grass he shall pass away.",FALSE
59001011,"For the sun is no sooner risen with a burning heat, but it withereth the grass, and the flower thereof falleth, and the grace of the fashion of it perisheth: so also shall the rich man fade away in his ways.",FALSE
59001012,"Blessed is the man that endureth temptation: for when he is tried, he shall receive the crown of life, which the Lord hath promised to them that love him.",FALSE
59001013,"Let no man say when he is tempted, I am tempted of God: for God cannot be tempted with evil, neither tempteth he any man:",FALSE
59001014,"But every man is tempted, when he is drawn away of his own lust, and enticed.",FALSE
59001015,"Then when lust hath conceived, it bringeth forth sin: and sin, when it is finished, bringeth forth death.",FALSE
59001016,"Do not err, my beloved brethren.",FALSE
59001017,"Every good gift and every perfect gift is from above, and cometh down from the Father of lights, with whom is no variableness, neither shadow of turning.",FALSE
59001018,"Of his own will begat he us with the word of truth, that we should be a kind of firstfruits of his creatures.",FALSE
59001019,"Wherefore, my beloved brethren, let every man be swift to hear, slow to speak, slow to wrath:",FALSE
59001020,For the wrath of man worketh not the righteousness of God.,FALSE
59001021,"Wherefore lay apart all filthiness and superfluity of naughtiness, and receive with meekness the engrafted word, which is able to save your souls.",FALSE
59001022,"But be ye doers of the word, and not hearers only, deceiving your own selves.",FALSE
59001023,"For if any be a hearer of the word, and not a doer, he is like unto a man beholding his natural face in a glass:",FALSE
59001024,"For he beholdeth himself, and goeth his way, and straightway forgetteth what manner of man he was.",FALSE
59001025,"But whoso looketh into the perfect law of liberty, and continueth therein, he being not a forgetful hearer, but a doer of the work, this man shall be blessed in his deed.",FALSE
59001026,"If any man among you seem to be religious, and bridleth not his tongue, but deceiveth his own heart, this man's religion is vain.",FALSE
59001027,"Pure religion and undefiled before God and the Father is this, To visit the fatherless and widows in their affliction, and to keep himself unspotted from the world.",FALSE
59002001,"My brethren, have not the faith of our Lord Jesus Christ, the Lord of glory, with respect of persons.",FALSE
59002002,"For if there come unto your assembly a man with a gold ring, in goodly apparel, and there come in also a poor man in vile raiment;",FALSE
59002003,"And ye have respect to him that weareth the gay clothing, and say unto him, Sit thou here in a good place; and say to the poor, Stand thou there, or sit here under my footstool:",FALSE
59002004,"Are ye not then partial in yourselves, and are become judges of evil thoughts?",FALSE
59002005,"Hearken, my beloved brethren, Hath not God chosen the poor of this world rich in faith, and heirs of the kingdom which he hath promised to them that love him?",FALSE
59002006,"But ye have despised the poor. Do not rich men oppress you, and draw you before the judgment seats?",FALSE
59002007,Do not they blaspheme that worthy name by the which ye are called?,FALSE
